EPOCHS_TMIN,EPOCHS_LENGTH,EPOCHS_EMPTY_FROM_MVT_TMINS,FMIN,FMAX,CLASSIFIER,RANDOM_STATE,N_SPLIT,NUMBER_OF_SESSIONS,score_A,score_B,score_C,score_X,duration,memory
0.0,1.8,-6.0,1,40,SVC,42,4,89,0.7910475324637427,0.7666622014284337,0.6736839199443475,0.7764906119281599,822.48242020607,2779.921875
-0.25,1.9,-6.0,1,40,SVC,42,4,89,0.8123975733731409,0.7969388955223125,0.6971358638406673,0.8163426585894223,816.6437442302704,2920.55078125
-0.5,2.0,-6.0,1,40,SVC,42,4,89,0.8376387013272688,0.8158829510712312,0.712725624779161,0.8397834151708163,816.3696072101593,3068.69140625
-0.75,2.1,-6.0,1,40,SVC,42,4,89,0.8512054374193874,0.8270637260431533,0.7250401858142835,0.8491264650165785,833.1362926959991,3161.93359375
-1.0,2.2,-6.0,1,40,SVC,42,4,89,0.8563234575586081,0.8304751571634295,0.7212120387427441,0.8527629021592338,901.2411770820618,3215.625
-1.25,2.3,-6.0,1,40,SVC,42,4,89,0.8437612941608021,0.8236622070201758,0.7077487322740358,0.8368650695026604,845.0553715229034,3325.6328125
-1.5,2.4,-6.0,1,40,SVC,42,4,89,0.8218209260562395,0.8051927953005569,0.6938018758982656,0.8212111448298154,910.5952546596528,3496.5859375
0.0,1.5,-6.5,1,40,SVC,42,4,89,0.7922919612515602,0.7712520324121621,0.6933730440516801,0.7933118085365707,791.9689099788666,2980.83203125
-0.25,1.6,-6.5,1,40,SVC,42,4,89,0.8206970599350779,0.7997821455719791,0.7092212117315193,0.8213522317673585,789.3138699531555,2940.75
-0.5,1.7,-6.5,1,40,SVC,42,4,89,0.8408337617751317,0.8159834658697299,0.7208073258872956,0.8337631256114131,800.2771830558777,3078.10546875
-0.75,1.8,-6.5,1,40,SVC,42,4,89,0.8521773812139115,0.8253949697334836,0.7256571773367839,0.8417105956759557,812.4811685085297,2713.125
-1.0,1.9,-6.5,1,40,SVC,42,4,89,0.8479139700690104,0.8232841551020921,0.722270526147286,0.8373938392595213,867.2849571704865,2830.515625
-1.25,2.0,-6.5,1,40,SVC,42,4,89,0.8360095826015768,0.8125740388883156,0.7101714206727293,0.8255261012071144,829.9438211917877,2959.8828125
-1.5,2.1,-6.5,1,40,SVC,42,4,89,0.8116485366372771,0.7937575906925527,0.6967000798334841,0.8043401941469235,825.6427474021912,3211.734375
0.0,2.3,-6.5,1,40,SVC,42,4,89,0.7309591826882145,0.715053546930634,0.6339862611468678,0.7173411033158583,842.9226667881012,3413.49609375
-0.25,2.4,-6.5,1,40,SVC,42,4,89,0.7640479781332251,0.7453643244043362,0.6564014292396876,0.7578380528486537,843.7050566673279,3523.5625
-0.5,2.5,-6.5,1,40,SVC,42,4,89,0.8010793249533953,0.7782555026424098,0.678356943727815,0.7869886685692196,847.6234345436096,3472.43359375
-0.75,1.5,-7.0,1,40,SVC,42,4,89,0.8169823003261075,0.8007223101787463,0.7253269875233707,0.8160957400800443,836.8041536808014,2515.36328125
-1.0,1.6,-7.0,1,40,SVC,42,4,89,0.817784482625269,0.8012135901804412,0.717349642294223,0.8134597349424709,803.9495794773102,2569.32421875
-1.25,1.7,-7.0,1,40,SVC,42,4,89,0.8010860579449062,0.7882120906510756,0.701344930050511,0.7957639966353005,801.3068294525146,2916.16796875
-1.5,1.8,-7.0,1,40,SVC,42,4,89,0.7718184111639259,0.7674432343972366,0.6890951132130743,0.7714468047707357,804.7597503662109,2944.46875
0.0,2.0,-7.0,1,40,SVC,42,4,89,0.7377245369720294,0.7284343592141505,0.6592128661259176,0.7338502802268068,822.5143382549286,3135.1015625
-0.25,2.1,-7.0,1,40,SVC,42,4,89,0.7728873299224479,0.7595800626955624,0.6765796363923072,0.7680330922843154,818.5099909305573,2954.65234375
-0.5,2.2,-7.0,1,40,SVC,42,4,89,0.80365989051734,0.789740871467342,0.69803162335242,0.8019128711987399,883.0088322162628,3251.75
-0.75,2.3,-7.0,1,40,SVC,42,4,89,0.8258826600485946,0.8090288469041169,0.7111503233538354,0.8229338365950976,847.123241186142,3395.78125
-1.0,2.4,-7.0,1,40,SVC,42,4,89,0.8316438318567003,0.8174928155199606,0.716239174397718,0.8318270650379583,800.4350616931915,3501.53125
-1.25,2.5,-7.0,1,40,SVC,42,4,89,0.8322603150804966,0.8140567718220311,0.7161311883094292,0.821851321305307,800.1362574100494,3647.6171875
-0.5,1.5,-4.0,1,40,SVC,42,4,89,0.8443334754455647,0.806952230816244,0.7136317719025889,0.833905253150655,789.1876184940338,2466.65625
-0.75,1.6,-4.0,1,40,SVC,42,4,89,0.8424099020984435,0.8114972773313174,0.7159762761867805,0.8340904003152132,784.9442291259766,2502.14453125
-1.0,1.7,-4.0,1,40,SVC,42,4,89,0.8359414115379743,0.8033854251389647,0.7067779327478332,0.8298791877071618,816.5283913612366,2620.93359375
-1.25,1.8,-4.0,1,40,SVC,42,4,89,0.8133268644225216,0.7923628165165983,0.6878427401001197,0.810376979960049,810.9728219509125,2827.41015625
-1.5,1.9,-4.0,1,40,SVC,42,4,89,0.7806023581124295,0.7706567366929405,0.6738583881278788,0.7790603887914949,802.1088349819183,2780.6796875
0.0,2.1,-4.0,1,40,SVC,42,4,89,0.7527658625916303,0.7210148848629547,0.6414657041273195,0.7445815890687422,820.9366953372955,3021.60546875
